Job_title,Deadline,Status
Radiation Monitor1,2020.01.14,Applied
Lab technician1,2021.01.09,Applied
Data scientist1,2021.01.02,Done
Data entry1,2020.12.20,Applied
Data_Analyst1,2021.01.03,Applied
Data_analyst_Quebec,2021.01.04,Applied
Data_analyst_Alberta,2021.01.06,Applied
Vocational teacher,2021.01.06,Applied
Data_analyst_Vancouver,2021.01.07,Applied
Data_entry_FedEx,2021.01.12,Applied
Warehouse_Ontario,2021.01.21,Applied
Data_entry_supervisor,2021.02.03,Applied
Data_entry_Ontario,2021.01.24,Applied
Data_Entry_Surry,2021.01.24,Applied
Early_houseware,ASAP,Applied
Data_Entry_Kitchener,ASAP,Applied
Evining_warehouse,ASAP,Applied
Warehouse_Winnipeg1,2021.02.05,Applied
Quality_Assurance_Winnipeg,2021.02.01,Applied
Data_Analyst(SEO),ASAP,Done
Data_Entry_Winnipeg1,2021.01.29,Done
Data_Entry_Simcoe,ASAP,Done
Data_Entry(Medical_Winnipeg),ASAP,Applied
Warehouse_Winnipeg2,ASAP,Applied
Data_Entry_Winnipeg2,ASAP,Applied
Data_Scientist_Winnipeg,ASAP,Applied
Data_Analyst_Revelstock,ASAP,Applied
Data_Analyst_Alberta,ASAP,Applied
Arctic_Beverages_Winnipeg,ASAP,Done
Data_Analyst_Green_Bee3,ASAP,Applied
Etobicoke(ON),ASAP,Applied
UPS,ASAP,Applied
Data_Entry(Randstad)_Winnipeg,ASAP,Applied
Goodbye_data_analyst,ASAP,Applied
Data_Entry_Winnipeg,ASAP,Applied
Data_Entry_Clerk_Winnipeg,ASAP,Applied
Data_Analyst_Toronto,ASAP,Applied
Data_Entry_Clerk_Toronto,ASAP,Applied
Data_Analyst_Surry,ASAP,Applied
Junior_Analyst,ASAP,Applied
Data_scientist,ASAP,Applied
Data_Entry_Winnipeg_Drop_Green,ASAP,Applied
Reporting_Analyst_Winnipeg,ASAP,Applied
Warehouse_Bernuby,ASAP,Applied
Warehouse_Richmond,ASAP,Applied
Technical_Analyst_Toronto,ASAP,Applied
Data_Entry_Dark_International_Winnipeg,ASAP,Applied
Data_and_statistical_analyst_Winnipeg,ASAP,Applied
Data_Analyst_Parmida_Toronto,ASAP,Applied
Data_Entry_David_Aplin_Winnipeg,ASAP,Applied
Data_Analyst_Winnipeg_Emerge_knowledge_designe,ASAP,Applied
Data_Analyst_Headingley_Data_Analyst,ASAP,Applied
Data_Entry_Toronto,ASAP,Applied
Quality_Analyst_Toronto,ASAP,Applied
Data_Entry_Vancouver_Alcon_Tool,ASAP,Applied
Administrator_Database_Vancouver,ASAP,Applied
